iter	Poisson
241	-372.2251037
242	-372.2337449
243	-372.2413395
244	-372.2454769
245	-372.2661507
246	-372.2924678
247	-372.2979453
248	-372.322399
249	-372.3413888
250	-372.3443244
251	-372.3676207
252	-372.4015777
253	-372.4353518
254	-372.4361354
255	-372.4447649
256	-372.462207
257	-372.4716838
258	-372.493487
259	-372.5072815
260	-372.512468
261	-372.5217043
262	-372.5276424
263	-372.5454445
264	-372.5464549
265	-372.5743678
266	-372.5895428
267	-372.5918449
268	-372.5969413
269	-372.6100151
270	-372.6162928
271	-372.6244176
272	-372.6272176
273	-372.6694556
274	-372.6706348
275	-372.6804473
276	-372.6859641
277	-372.6890531
278	-372.7025136
279	-372.7291106
280	-372.7386702
281	-372.7458473
282	-372.7485213
283	-372.7632199
284	-372.7706947
285	-372.8020509
286	-372.8091791
287	-372.8240464
288	-372.833855
289	-372.8365298
290	-372.8420701
291	-372.8444729
292	-372.873723
293	-372.8999697
294	-372.9096388
295	-372.9310377
296	-372.9390808
297	-372.9606978
298	-372.9753226
299	-373.0058271
300	-373.021743
301	-373.0379593
302	-373.0409368
303	-373.0592352
304	-373.0759547
305	-373.0884822
306	-373.093682
307	-373.1032013
308	-373.1147332
309	-373.1197523
310	-373.1200042
311	-373.12378
312	-373.1363308
313	-373.1391549
314	-373.1434245
315	-373.1465667
316	-373.1518017
317	-373.1526115
318	-373.1657334
319	-373.1704381
320	-373.1854977
321	-373.2001637
322	-373.2142387
323	-373.2154835
324	-373.2291622
325	-373.2402964
326	-373.2519283
327	-373.2521849
328	-373.2554275
329	-373.2651462
330	-373.2660198
331	-373.2737665
332	-373.2747742
333	-373.2895741
334	-373.2928407
335	-373.3016642
336	-373.3019286
337	-373.3023138
338	-373.302549
339	-373.3230008
340	-373.3339521
341	-373.3463829
342	-373.3583331
343	-373.368077
344	-373.3824392
345	-373.4027283
346	-373.4061722
347	-373.4068095
348	-373.4140083
349	-373.4191837
350	-373.4233606
351	-373.448892
352	-373.4514118
353	-373.4771337
354	-373.4814237
355	-373.4826592
356	-373.4849649
357	-373.4966565
358	-373.5015041
359	-373.5018672
360	-373.5136092
361	-373.5149375
362	-373.51846
363	-373.5348435
364	-373.5411654
365	-373.5446029
366	-373.5495874
367	-373.5659222
368	-373.5703111
369	-373.5873232
370	-373.6014664
371	-373.6109659
372	-373.6173609
373	-373.626296
374	-373.6302684
375	-373.639284
376	-373.6430321
377	-373.6528549
378	-373.6603107
379	-373.6640204
380	-373.6717547
381	-373.6745452
382	-373.6847221
383	-373.6882572
384	-373.6924734
385	-373.6985716
386	-373.7034722
387	-373.7139234
388	-373.7147649
389	-373.717691
390	-373.7188422
391	-373.7253838
392	-373.728666
393	-373.7287468
394	-373.7303944
395	-373.7305035
396	-373.7386706
397	-373.7468169
398	-373.7585794
399	-373.7586828
