iter	Poisson
134	-0.201681055
135	-0.2021171648
136	-0.2026089187
137	-0.2029300113
138	-0.2031916057
139	-0.203493562
140	-0.2039074932
141	-0.2046161251
142	-0.2047662258
143	-0.205362972
144	-0.2058434015
145	-0.2062962684
146	-0.2065268473
147	-0.2068139335
148	-0.2072826719
149	-0.2076844868
150	-0.2079775224
151	-0.2080849662
152	-0.2083177786
153	-0.2085226558
154	-0.2087294706
155	-0.2088601578
156	-0.2089199427
157	-0.209115322
158	-0.2092076602
159	-0.2093986042
160	-0.2095734799
161	-0.2097908956
162	-0.209983365
163	-0.2101612386
164	-0.2102287074
165	-0.2104286931
166	-0.2106292028
167	-0.2107967816
168	-0.211020592
169	-0.2114115838
170	-0.211682601
171	-0.2120420329
172	-0.2121829368
173	-0.2124822481
174	-0.2126043866
175	-0.2127812131
176	-0.21305742
177	-0.2132822389
178	-0.2134060412
179	-0.2134663804
180	-0.2136475782
181	-0.2137691883
182	-0.2139386565
183	-0.2141352549
184	-0.2143547705
185	-0.2144669229
186	-0.2148110024
187	-0.214942298
188	-0.215255236
189	-0.2154209789
190	-0.2155300479
191	-0.2157488235
192	-0.2160361309
193	-0.2161477944
194	-0.2162188806
195	-0.2164045442
196	-0.2164952137
197	-0.2165856407
198	-0.2168044397
199	-0.2169957682
200	-0.2171897245
201	-0.2174499487
202	-0.2174963867
203	-0.2176697655
204	-0.2178342505
205	-0.2179101322
206	-0.2179759766
207	-0.2181354806
208	-0.2182807471
209	-0.2184315066
210	-0.2184971641
211	-0.218579497
212	-0.218639767
213	-0.2188517633
214	-0.2189072247
215	-0.2189591332
216	-0.2190361732
217	-0.2193757282
218	-0.2194279834
219	-0.2195557334
220	-0.2196008685
221	-0.2196803974
222	-0.2198632662
223	-0.219910504
224	-0.2199506874
225	-0.2202099162
226	-0.2202811834
227	-0.2203504047
228	-0.220487857
229	-0.220602666
230	-0.2207146983
231	-0.2207547786
232	-0.2207951181
233	-0.2209106814
234	-0.22102811
235	-0.2210854974
236	-0.2211224551
237	-0.2211598206
238	-0.2212158259
239	-0.2212844438
240	-0.2214191721
241	-0.2215561172
242	-0.2216529173
243	-0.2217300031
244	-0.2217597647
245	-0.2218086435
246	-0.2218698662
247	-0.2219907977
248	-0.2220889023
249	-0.2221992534
250	-0.2222525185
251	-0.2222841357
252	-0.222395636
253	-0.2225220507
254	-0.2226076699
255	-0.2227226015
256	-0.2227616918
257	-0.2227872338
258	-0.2228696997
259	-0.2229312094
260	-0.2230258069
261	-0.223221516
262	-0.2232461873
263	-0.223289266
264	-0.2233309086
265	-0.2233851056
266	-0.2234448426
267	-0.2235396592
268	-0.2236163858
269	-0.2237156315
270	-0.223812691
271	-0.2238831787
272	-0.2239304815
273	-0.2239727648
274	-0.2240139162
275	-0.2240757425
276	-0.2240934229
277	-0.2241156098
278	-0.224213649
279	-0.224275788
280	-0.224362163
281	-0.2244084801
282	-0.2244932315
283	-0.2245493796
284	-0.2246940948
285	-0.224733125
286	-0.2247748772
287	-0.2248593532
288	-0.2249415434
289	-0.2250153194
290	-0.2250318684
291	-0.2251097334
292	-0.2251343899
293	-0.2252040546
294	-0.2252540448
295	-0.2253038505
296	-0.2253533712
297	-0.2254070856
298	-0.2254454503
299	-0.2255146315
300	-0.2255648483
301	-0.2255776006
302	-0.225602386
303	-0.2256304669
304	-0.2256920751
305	-0.2257227359
306	-0.2258314953
307	-0.2258612624
308	-0.2258894217
309	-0.2259945226
310	-0.2260245652
311	-0.2260779603
312	-0.2261043986
313	-0.2261279486
314	-0.226147938
315	-0.2261704314
316	-0.2261911551
317	-0.226232048
318	-0.2263244807
319	-0.226345538
320	-0.2264024815
321	-0.2264563545
322	-0.2265056411
323	-0.2265344215
324	-0.2265828206
325	-0.2266088773
326	-0.2266333046
327	-0.2266412987
328	-0.2267237303
329	-0.2267430911
330	-0.2267764218
331	-0.2268024813
332	-0.2268393713
333	-0.2268614888
334	-0.2268800445
335	-0.2269242577
336	-0.2269676641
337	-0.2270016634
338	-0.2270401194
339	-0.2270567643
340	-0.2270806446
341	-0.2271512058
342	-0.2271954592
343	-0.2272127685
344	-0.2272327212
345	-0.227289419
346	-0.2273115615
347	-0.2273314579
348	-0.2273460404
349	-0.2273679412
350	-0.2273872706
351	-0.2274264352
352	-0.2274479057
353	-0.2274646299
354	-0.2274993763
355	-0.2275174416
356	-0.2275734769
357	-0.2276101657
358	-0.2276631595
359	-0.2276693941
360	-0.2276723577
361	-0.2276853591
362	-0.2277144278
363	-0.2277491781
364	-0.227781986
365	-0.2278133138
366	-0.227834247
367	-0.2278518779
368	-0.2278627111
369	-0.2278797977
370	-0.2279097524
371	-0.2279386932
372	-0.2279554194
373	-0.2279860095
374	-0.228001812
375	-0.2280318047
376	-0.2280641842
377	-0.2280935088
378	-0.2281223125
379	-0.2281588557
380	-0.2281727603
381	-0.2282017583
382	-0.2282171593
383	-0.2282275235
384	-0.228253378
385	-0.2282853714
386	-0.2283102531
387	-0.2283358113
388	-0.2283548399
389	-0.2283836439
390	-0.2283980832
391	-0.2284034834
392	-0.2284429576
393	-0.2284585705
394	-0.22849725
395	-0.2285013653
396	-0.2285111429
397	-0.2285227671
398	-0.2285338551
399	-0.2285502714
